ID,Comment,Brand,Platform,Sentiment,Theme,Date
1,Appreciate the sustainable packaging. Well done!,Sapphire,Instagram,Positive,Sustainability,2024-07-26
2,"Poor fabric quality, not worth the price.",Alkaram,Instagram,Negative,Delivery Experience,2024-09-17
3,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Twitter,Positive,New Collection,2024-10-29
4,Great quality and beautiful designs.,Alkaram,Facebook,Positive,Customer Service,2024-04-29
5,Received a wrong item and no response to complaint.,Alkaram,Facebook,Negative,Customer Service,2024-08-08
6,"The collection looks okay, nothing special.",Alkaram,Facebook,Neutral,Customer Service,2024-08-12
7,"Delivery was on time, average service.",Gul Ahmed,Instagram,Neutral,Sale,2024-03-08
8,Received a wrong item and no response to complaint.,Khaadi,Instagram,Negative,Sustainability,2024-02-26
9,Very happy with the purchase. Will shop again!,Gul Ahmed,Instagram,Positive,Sale,2024-10-10
10,Received a wrong item and no response to complaint.,Sapphire,Twitter,Negative,New Collection,2024-10-29
11,Had a decent shopping experience.,Alkaram,Twitter,Neutral,Sale,2024-05-29
12,Colors seem different from pictures.,Sana Safinaz,Facebook,Neutral,Customer Service,2024-08-27
13,Received a wrong item and no response to complaint.,Sana Safinaz,Twitter,Negative,Customer Service,2024-04-11
14,"Poor fabric quality, not worth the price.",Gul Ahmed,Twitter,Negative,Sustainability,2024-07-03
15,"Delivery was on time, average service.",Sapphire,Instagram,Neutral,Sale,2024-12-12
16,Had a decent shopping experience.,Alkaram,Twitter,Neutral,New Collection,2024-12-13
17,Prices are a bit high compared to last year.,Alkaram,Twitter,Neutral,Customer Service,2024-04-14
18,Loved the new collection! Absolutely stunning.,Sana Safinaz,Twitter,Positive,Customer Service,2024-09-13
19,Customer service was unhelpful.,Sana Safinaz,Facebook,Negative,Sale,2024-02-21
20,Appreciate the sustainable packaging. Well done!,Alkaram,Twitter,Positive,Sustainability,2024-05-04
21,Customer service was unhelpful.,Gul Ahmed,Twitter,Negative,Delivery Experience,2024-07-29
22,Disappointed with the delivery delay.,Khaadi,Twitter,Negative,Sustainability,2024-04-07
23,Prices are a bit high compared to last year.,Sana Safinaz,Facebook,Neutral,Delivery Experience,2024-10-25
24,Loved the new collection! Absolutely stunning.,Sapphire,Facebook,Positive,Sustainability,2024-09-10
25,Appreciate the sustainable packaging. Well done!,Sapphire,Twitter,Positive,Customer Service,2024-04-01
26,Colors seem different from pictures.,Khaadi,Twitter,Neutral,New Collection,2024-01-27
27,Customer service was unhelpful.,Gul Ahmed,Twitter,Negative,Customer Service,2024-05-28
28,Customer service was unhelpful.,Sana Safinaz,Instagram,Negative,Sale,2024-10-05
29,Loved the new collection! Absolutely stunning.,Alkaram,Instagram,Positive,Sale,2024-10-29
30,Great quality and beautiful designs.,Khaadi,Twitter,Positive,Delivery Experience,2024-11-11
31,"Delivery was on time, average service.",Sana Safinaz,Twitter,Neutral,Sustainability,2024-07-31
32,Colors seem different from pictures.,Sana Safinaz,Instagram,Neutral,Customer Service,2024-10-06
33,Prices are a bit high compared to last year.,Sapphire,Facebook,Neutral,Customer Service,2024-03-17
34,Received a wrong item and no response to complaint.,Sana Safinaz,Instagram,Negative,New Collection,2024-03-25
35,Prices are a bit high compared to last year.,Khaadi,Twitter,Neutral,Sale,2024-06-08
36,Bad experience with the website. Very slow.,Gul Ahmed,Facebook,Negative,Customer Service,2024-12-04
37,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Twitter,Positive,Delivery Experience,2024-06-30
38,Bad experience with the website. Very slow.,Alkaram,Facebook,Negative,New Collection,2024-04-20
39,Prices are a bit high compared to last year.,Gul Ahmed,Instagram,Neutral,Sustainability,2024-03-05
40,Disappointed with the delivery delay.,Sana Safinaz,Twitter,Negative,New Collection,2024-11-10
41,Very happy with the purchase. Will shop again!,Sapphire,Instagram,Positive,Delivery Experience,2024-08-22
42,Great quality and beautiful designs.,Khaadi,Twitter,Positive,Sustainability,2024-06-15
43,Prices are a bit high compared to last year.,Sapphire,Facebook,Neutral,Delivery Experience,2024-08-30
44,"Poor fabric quality, not worth the price.",Khaadi,Twitter,Negative,Delivery Experience,2024-03-30
45,Bad experience with the website. Very slow.,Gul Ahmed,Instagram,Negative,New Collection,2024-09-27
46,Disappointed with the delivery delay.,Gul Ahmed,Facebook,Negative,Sustainability,2024-11-16
47,Customer service was unhelpful.,Alkaram,Facebook,Negative,New Collection,2024-12-09
48,Great quality and beautiful designs.,Khaadi,Twitter,Positive,Customer Service,2024-06-21
49,"The collection looks okay, nothing special.",Sana Safinaz,Instagram,Neutral,Delivery Experience,2024-08-01
50,Very happy with the purchase. Will shop again!,Gul Ahmed,Facebook,Positive,Sale,2024-04-08
51,Received a wrong item and no response to complaint.,Sapphire,Facebook,Negative,Sale,2024-09-06
52,"Delivery was on time, average service.",Gul Ahmed,Twitter,Neutral,Delivery Experience,2024-02-01
53,Appreciate the sustainable packaging. Well done!,Sapphire,Instagram,Positive,Sustainability,2024-06-04
54,Had a decent shopping experience.,Sapphire,Instagram,Neutral,Sale,2024-02-11
55,Appreciate the sustainable packaging. Well done!,Khaadi,Instagram,Positive,Delivery Experience,2024-08-10
56,Prices are a bit high compared to last year.,Sapphire,Facebook,Neutral,Customer Service,2024-08-01
57,Customer service was unhelpful.,Alkaram,Facebook,Negative,Delivery Experience,2024-06-12
58,Prices are a bit high compared to last year.,Sapphire,Twitter,Neutral,New Collection,2024-12-10
59,Prices are a bit high compared to last year.,Sapphire,Instagram,Neutral,New Collection,2024-05-20
